lines,no_tests_sec,with_tests_sec
100,0.001339200000074925,0.0008217999993576086
1000,0.007832400000552298,0.008549600000151258
2000,0.01612420000037673,0.018507799999497365
3000,0.025840500000413158,0.028222400000231573
4000,0.032342000000426196,0.03282820000003994
5000,0.059820200000103796,0.03877869999996619
6000,0.05805899999995745,0.05671460000030493
7000,0.07093460000032792,0.06819499999983236
8000,0.08494570000038948,0.0654156000000512
9000,0.07595059999948717,0.07256429999961256
10000,0.07990419999987353,0.07685080000010203
